State,Crime_Head,Year,Persons_Arrested
UTTARAKHAND,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,0
WEST BENGAL,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,0
A & N ISLANDS,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,0
CHANDIGARH,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,0
D & N HAVELI,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,0
DAMAN & DIU,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,0
DELHI,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,4
LAKSHADWEEP,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,0
PUDUCHERRY,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,0
ANDHRA PRADESH,COMMISSION OF SATI (P) ACT,2001,0
ARUNACHAL PRADESH,COMMISSION OF SATI (P) ACT,2001,0
ASSAM,COMMISSION OF SATI (P) ACT,2001,0
BIHAR,COMMISSION OF SATI (P) ACT,2001,0
CHHATTISGARH,COMMISSION OF SATI (P) ACT,2001,0
GOA,COMMISSION OF SATI (P) ACT,2001,0
GUJARAT,COMMISSION OF SATI (P) ACT,2001,0
HARYANA,COMMISSION OF SATI (P) ACT,2001,0
HIMACHAL PRADESH,COMMISSION OF SATI (P) ACT,2001,0
JAMMU & KASHMIR,COMMISSION OF SATI (P) ACT,2001,0
JHARKHAND,COMMISSION OF SATI (P) ACT,2001,0
KARNATAKA,COMMISSION OF SATI (P) ACT,2001,0
KERALA,COMMISSION OF SATI (P) ACT,2001,0
MADHYA PRADESH,COMMISSION OF SATI (P) ACT,2001,0
MAHARASHTRA,COMMISSION OF SATI (P) ACT,2001,0
MANIPUR,COMMISSION OF SATI (P) ACT,2001,0
MEGHALAYA,COMMISSION OF SATI (P) ACT,2001,0
MIZORAM,COMMISSION OF SATI (P) ACT,2001,0
NAGALAND,COMMISSION OF SATI (P) ACT,2001,0
ODISHA,COMMISSION OF SATI (P) ACT,2001,0
PUNJAB,COMMISSION OF SATI (P) ACT,2001,0
RAJASTHAN,COMMISSION OF SATI (P) ACT,2001,0
SIKKIM,COMMISSION OF SATI (P) ACT,2001,0
TAMIL NADU,COMMISSION OF SATI (P) ACT,2001,0
TRIPURA,COMMISSION OF SATI (P) ACT,2001,0
UTTAR PRADESH,COMMISSION OF SATI (P) ACT,2001,0
UTTARAKHAND,COMMISSION OF SATI (P) ACT,2001,0
WEST BENGAL,COMMISSION OF SATI (P) ACT,2001,0
A & N ISLANDS,COMMISSION OF SATI (P) ACT,2001,0
CHANDIGARH,COMMISSION OF SATI (P) ACT,2001,0
D & N HAVELI,COMMISSION OF SATI (P) ACT,2001,0
DAMAN & DIU,COMMISSION OF SATI (P) ACT,2001,0
DELHI,COMMISSION OF SATI (P) ACT,2001,0
LAKSHADWEEP,COMMISSION OF SATI (P) ACT,2001,0
PUDUCHERRY,COMMISSION OF SATI (P) ACT,2001,0
ANDHRA PRADESH,RAPE,2002,1340
ARUNACHAL PRADESH,RAPE,2002,61
ASSAM,RAPE,2002,1019
BIHAR,RAPE,2002,1304
CHHATTISGARH,RAPE,2002,1214
GOA,RAPE,2002,12
GUJARAT,RAPE,2002,378
HARYANA,RAPE,2002,511
HIMACHAL PRADESH,RAPE,2002,204
